# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.2110748758 6.8418274428 
0.6332246274 8.14503267 
1.055374379 7.4419877448 
1.4775241306 8.9375223352 
1.8996738822 9.421532872 
2.3218236338 10.3504569006 
2.7439733853 9.1224365904 
3.1661231369 8.4072159701 
3.5882728885 8.2080909874 
4.0104226401 7.2121108468 
4.4325723917 6.2148321786 
4.8547221433 5.9054564326 
5.2768718949 4.9161958384 
5.6990216465 4.3944461455 
6.1211713981 3.719091621 
6.5433211497 3.3655591304 
6.9654709013 2.769111719 
7.3876206529 2.4270247512 
7.8097704044 2.1073983263 
8.231920156 1.8188907312 
8.6540699076 1.4757946586 
9.0762196592 1.3022656416 
9.4983694108 1.0374594608 
9.9205191624 0.9772072992 
10.342668914 0.9889815349 
10.7648186656 0.8241053045 
11.1869684172 0.8345275998 
11.6091181688 0.7638884761 
12.0312679204 0.7814151162 
12.453417672 0.7913565254 
12.8755674235 0.8114098472 
13.2977171751 0.8687305252 
13.7198669267 0.8830253784 
14.1420166783 0.9672437965 
14.5641664299 0.9758529201 
14.9863161815 1.032034449 
15.4084659331 1.0686967559 
15.8306156847 1.07841082 
16.2527654363 1.1108161488 
16.6749151879 1.1424969987 
17.0970649395 1.1729773933 
17.5192146911 1.1877528965 
17.9413644426 1.223423287 
18.3635141942 1.2184406455 
18.7856639458 1.2307074444 
19.2078136974 1.2139259124 
19.629963449 1.2441923498 
20.0521132006 1.2327890192 
20.4742629522 1.2555146009 
20.8964127038 1.2226745546 
21.3185624554 1.2105023851 
21.740712207 1.1510527004 
22.1628619586 1.1713323316 
22.5850117102 1.1375158937 
23.0071614617 1.104602074 
23.4293112133 1.0757683448 
23.8514609649 1.0499327276 
24.2736107165 1.0383335932 
24.6957604681 1.0146900347 
25.1179102197 0.9664835489 
