# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.1890025588 0.0 
0.5670076763 0.0 
0.9450127939 0.722668881 
1.3230179114 0.4948003149 
1.701023029 1.2004991247 
2.0790281465 1.8860863651 
2.4570332641 2.4506251816 
2.8350383816 2.5051095824 
3.2130434992 2.9739323074 
3.5910486168 2.7275639129 
3.9690537343 2.6963627432 
4.3470588519 2.5132615491 
4.7250639694 2.4641108432 
5.103069087 2.4348788805 
5.4810742045 2.2594378087 
5.8590793221 2.212275541 
6.2370844396 2.0867764198 
6.6150895572 2.0095542169 
6.9930946747 1.8071413156 
7.3710997923 1.8331679502 
7.7491049098 1.8891974354 
8.1271100274 1.7918228418 
8.5051151449 1.6556999016 
8.8831202625 1.6490108865 
9.26112538 1.6086504963 
9.6391304976 1.5377549253 
10.0171356152 1.5520631852 
10.3951407327 1.4442761064 
10.7731458503 1.4076277116 
11.1511509678 1.4496739597 
11.5291560854 1.4070163738 
11.9071612029 1.2945086505 
12.2851663205 1.3482293686 
12.663171438 1.3321546939 
13.0411765556 1.281686618 
13.4191816731 1.301288186 
13.7971867907 1.2922279052 
14.1751919082 1.2258592774 
14.5531970258 1.2721052395 
14.9312021433 1.2603349401 
15.3092072609 1.2993158645 
15.6872123784 1.2923749467 
16.065217496 1.2711273083 
16.4432226136 1.2689880544 
16.8212277311 1.2692219405 
17.1992328487 1.2663673572 
17.5772379662 1.2696372424 
17.9552430838 1.2877399316 
18.3332482013 1.2264309775 
18.7112533189 1.2331051855 
19.0892584364 1.2735885899 
19.467263554 1.2197213305 
19.8452686715 1.1908582195 
20.2232737891 1.1899307969 
20.6012789066 1.1823623056 
20.9792840242 1.1698565826 
21.3572891417 1.1536643658 
21.7352942593 1.1344203862 
22.1132993768 1.0993126116 
22.4913044944 1.0842187862 
