# Radial distribution function (60 data points):
# "Pair separation distance" g(r)
0.1523557376 0.0 
0.4570672127 0.8214138017 
0.7617786878 1.1096291707 
1.066490163 0.7252121852 
1.3712016381 1.2568080025 
1.6759131132 1.3268992181 
1.9806245884 1.252602149 
2.2853360635 1.3722632939 
2.5900475386 1.6781572292 
2.8947590138 1.4074162678 
3.1994704889 1.5170925602 
3.5041819641 1.4869589894 
3.8088934392 1.6632607825 
4.1136049143 1.5382112203 
4.4183163895 1.5035387336 
4.7230278646 1.5418123138 
5.0277393397 1.6538870303 
5.3324508149 1.4744928924 
5.63716229 1.5825745948 
5.9418737651 1.5722767246 
6.2465852403 1.5199303758 
6.5512967154 1.471675052 
6.8560081905 1.4800589698 
7.1607196657 1.5453353195 
7.4654311408 1.4579600885 
7.7701426159 1.490277321 
8.0748540911 1.4290598919 
8.3795655662 1.4655605437 
8.6842770414 1.4077848358 
8.9889885165 1.4093963353 
9.2936999916 1.4867462277 
9.5984114668 1.4453608659 
9.9031229419 1.4134330894 
10.207834417 1.3217760551 
10.5125458922 1.307453388 
10.8172573673 1.3205043351 
11.1219688424 1.2323604613 
11.4266803176 1.2370205004 
11.7313917927 1.2533317852 
12.0361032678 1.1558753923 
12.340814743 1.1789566513 
12.6455262181 1.1751288604 
12.9502376932 1.13569035 
13.2549491684 1.1664548643 
13.5596606435 1.1320421484 
13.8643721186 1.1004202929 
14.1690835938 1.1316018716 
14.4737950689 1.0751148586 
14.7785065441 1.0928904617 
15.0832180192 1.0616958692 
15.3879294943 1.0488745311 
15.6926409695 1.0239541911 
15.9973524446 1.0145240242 
16.3020639197 0.9749446217 
16.6067753949 0.947239168 
16.91148687 0.932908955 
17.2161983451 0.9350011127 
17.5209098203 0.9354185401 
17.8256212954 0.8900849662 
18.1303327705 0.8707043013 
