 Total Particles | Monomers per Polymer | Real Frac Phobic | Density | Average Radius of Gyration | Mean End-To-End Distance of Chains
38000 | 38| 28 | 0.05 | 47.98550216096544 | 11.781254862181086
38000 | 38| 19 | 0.05 | 43.39936809564483 | 10.680230767634349
38000 | 38| 9 | 0.05 | 32.57124561624212 | 8.79898201807951
38000 | 38| 28 | 0.1 | 47.27449665945113 | 11.70961731234811
38000 | 38| 19 | 0.1 | 43.7115995980406 | 11.110353777100906
38000 | 38| 9 | 0.1 | 34.01801802109726 | 9.328196195192836
38000 | 38| 28 | 0.15 | 45.817269046141625 | 11.358563375395091
38000 | 38| 19 | 0.15 | 43.84883123996477 | 11.048212382994485
38000 | 38| 9 | 0.15 | 35.10768338725537 | 9.874803745083096
38000 | 38| 28 | 0.2 | 44.45002159515976 | 10.920855722355784
38000 | 38| 19 | 0.2 | 43.56786698371765 | 11.187783208728103
38000 | 38| 9 | 0.2 | 36.27970785843345 | 10.430554921127362
38000 | 38| 28 | 0.25 | 43.780595294721195 | 10.876723357202968
