Step,Total,Kinetic,Bonded,Non-Bonded,Pressure
0,47375.5761199433,51439.419037361746,26147.325302560712,-30211.16821997916,4.358190491440249
2,46528.539188465395,51470.62149108933,25766.082061073877,-30708.16436369781,4.330052800865407
4,45876.49056723269,51370.180974564646,25976.68310127012,-31470.373508602068,4.2637750872120055
6,45456.74586600354,51213.60331887899,25965.629091482366,-31722.48654435781,4.292174551312959
8,44939.22497186101,51496.20650639727,25783.48278507132,-32340.464319607578,4.249320898261193
10,43655.97854804323,50693.71108548217,25664.05151239705,-32701.784049835987,4.219469328674693
12,43700.87551568363,51092.17051021443,25707.643369662885,-33098.93836419368,4.188435159887252
14,43352.552770055394,51206.77994028219,25705.126852411115,-33559.35402263791,4.178893861879936
16,43389.17665562521,51273.24074729639,25828.761425246597,-33712.82551691777,4.16593573088916
18,42572.69056838256,50998.38016464416,25816.21544340594,-34241.90503966753,4.139717200549687
20,42827.669527969505,51297.63356116508,25563.358211214596,-34033.32224441017,4.178634538895505
22,41941.36976653227,51221.78278628073,25514.11206437431,-34794.52508412277,4.102257820987339
24,41485.99017462517,51133.324764154895,25675.648218879192,-35322.982808408924,4.082637100361607
26,41350.00921126001,50879.30049244351,25843.279566106325,-35372.570847289826,4.089290297385087
28,41013.59506817202,50789.03845888502,25904.54668499585,-35679.99007570885,4.083933622262894
30,40495.36406864031,50765.11233558031,25961.813701375773,-36231.56196831577,4.009317668906441
32,41187.85790882667,51410.24827328057,25700.509797774946,-35922.90016222885,4.094845661845108
34,40136.77644487414,50998.59142578471,25501.891749802995,-36363.706730713566,4.046835672118883
36,40045.637939398744,50805.06885901485,25774.410469304326,-36533.841388920424,4.006491057878631
38,39982.2028020118,51277.69620219758,25690.757687736404,-36986.25108792218,4.00681559659451
40,39403.04480144617,51070.3590419793,25794.68959635292,-37462.003836886055,3.98735719833313
42,39040.2507141338,50807.96764993756,25797.82850877238,-37565.54544457614,3.992971289645276
44,39038.27648283454,51026.0745813787,25737.673961023786,-37725.472059567954,3.9678347510913636
46,38462.224781897945,50858.61567429597,25849.5395353181,-38245.930427716135,3.924360579783292
48,38285.125145997335,50960.282673773974,25875.233954305342,-38550.391482081985,3.91496437157714
50,38918.108934903124,51265.806677102715,25953.22983743739,-38300.92757963698,3.944794915570104
52,38530.44103272523,51311.424633650706,25635.105767818928,-38416.0893687444,3.9723118820275736
54,37459.55845203353,50868.875118414966,25824.517300601063,-39233.8339669825,3.869648205534726
56,37362.1841335176,50751.9073866711,25728.118705770037,-39117.84195892354,3.87620466943962
58,38123.34392577481,51083.849236303584,25908.313215241036,-38868.818525769806,3.9153066202024975
60,37542.560271257535,51037.51021209378,25860.43795990447,-39355.38790074072,3.8765824680463647
62,37481.208974677196,50915.610230582126,25906.8887324668,-39341.28998837173,3.876564583584297
64,37815.020192027616,51494.92061788366,25761.016336135744,-39440.916761991786,3.9044760115952264
66,36957.52761031692,51021.61018088227,25573.139589781764,-39637.22216034711,3.9129217438649677
68,36807.011749284684,51130.52222948882,25763.575475475198,-40087.085955679344,3.8419862579901825
