# Cluster list (110 data points):
# "Cluster Identifier" "Cluster Size"
1 1270 
2 510 
3 100 
4 220 
5 90 
6 590 
7 220 
8 90 
9 460 
10 10 
11 410 
12 290 
13 410 
14 120 
15 320 
16 20 
17 190 
18 30 
19 60 
20 30 
21 220 
22 80 
23 200 
24 40 
25 290 
26 110 
27 150 
28 80 
29 180 
30 110 
31 130 
32 30 
33 430 
34 10 
35 90 
36 80 
37 200 
38 240 
39 160 
40 40 
41 10 
42 10 
43 40 
44 30 
45 100 
46 100 
47 10 
48 10 
49 10 
50 110 
51 30 
52 20 
53 40 
54 210 
55 60 
56 20 
57 10 
58 10 
59 10 
60 10 
61 10 
62 80 
63 30 
64 80 
65 10 
66 10 
67 10 
68 10 
69 10 
70 20 
71 30 
72 10 
73 30 
74 40 
75 10 
76 10 
77 10 
78 10 
79 10 
80 10 
81 10 
82 30 
83 20 
84 10 
85 10 
86 10 
87 10 
88 40 
89 10 
90 10 
91 20 
92 10 
93 10 
94 10 
95 10 
96 10 
97 20 
98 30 
99 10 
100 10 
101 10 
102 10 
103 10 
104 10 
105 10 
106 10 
107 10 
108 10 
109 10 
110 10 
