# Cluster list (66 data points):
# "Cluster Identifier" "Cluster Size" "Center of Mass.X" "Center of Mass.Y" "Center of Mass.Z"
1 20240 30.346184585 29.2945219368 30.9322358202 
2 154 3.2467272727 5.8753896104 -0.9831363636 
3 88 -3.7850795455 18.1267045455 -3.0374090909 
4 44 18.5085909091 48.8311136364 -9.8758181818 
5 44 52.9936590909 23.2960909091 -9.4628636364 
6 44 -1.4221818182 26.0415681818 9.9050454545 
7 44 25.2241818182 65.0873181818 58.9510454545 
8 44 67.7813181818 47.4821818182 22.7674545455 
9 44 60.5137954545 59.6905 -4.2985454545 
10 22 35.9690909091 -7.7825 28.9542727273 
11 22 41.6007272727 -12.3931818182 22.2962272727 
12 22 -0.7093181818 -7.2245454545 41.0263636364 
13 22 36.1063636364 42.3511818182 -14.8045454545 
14 22 40.8251818182 69.9501363636 36.1637727273 
15 22 22.022 -0.4859090909 3.5761363636 
16 22 14.7985 56.6283636364 62.7905454545 
17 22 44.3053636364 -5.8128181818 69.6396818182 
18 22 11.7405909091 52.5576818182 54.4809090909 
19 22 64.5861363636 2.0081818182 51.1005909091 
20 22 60.8160454545 27.8743636364 61.4645454545 
21 22 -13.0695909091 45.9055454545 9.4527727273 
22 22 -2.0826363636 24.2845909091 21.6165 
23 22 -16.3322272727 27.171 18.7233181818 
24 22 63.8519090909 71.9866818182 41.1234090909 
25 22 -11.3469545455 6.2595 42.7154545455 
26 22 34.7469090909 -10.2211363636 10.0829090909 
27 22 24.8681363636 -11.1818636364 35.4394090909 
28 22 75.4552272727 52.1368636364 10.944 
29 22 0.7975454545 60.3505909091 39.1051818182 
30 22 66.8647272727 54.5709090909 7.5625454545 
31 22 -9.2475 13.1114545455 33.8278636364 
32 22 55.6254545455 15.5828636364 70.2364545455 
33 22 38.5982272727 70.1087272727 45.9326363636 
34 22 0.6526818182 38.2927727273 24.1204090909 
35 22 -8.3633636364 2.013 10.4795909091 
36 22 59.4188181818 14.2557727273 -2.0870909091 
37 22 19.2646363636 71.2918181818 -0.0755454545 
38 22 68.4698636364 23.0183181818 48.6523181818 
39 22 2.2515454545 68.6275454545 32.1402272727 
40 22 5.1125 -8.0691818182 -5.2382727273 
41 22 -0.5355454545 28.5695909091 -4.9265 
42 22 70.0095909091 47.5153181818 1.5047727273 
43 22 6.8045909091 47.757 69.4506818182 
44 22 27.6514545455 3.0637272727 3.0156363636 
45 22 37.5001818182 -14.2723636364 48.7386363636 
46 22 3.0938636364 37.5489545455 -10.7610909091 
47 22 26.9240909091 5.7942727273 70.3238181818 
48 22 45.5157727273 68.6223636364 28.8194545455 
49 22 -5.0996363636 68.2130454545 22.3795 
50 22 68.7612272727 29.4790454545 17.4259545455 
51 22 -12.4044090909 28.4665909091 -1.1759090909 
52 22 65.3547272727 59.3967727273 7.712 
53 22 1.2567272727 66.3578181818 47.0384545455 
54 22 -10.9227272727 38.2876363636 24.2587272727 
55 22 13.1209545455 68.9928181818 25.0852727273 
56 22 60.9706818182 57.7283181818 33.0192727273 
57 22 -4.5456818182 35.5905454545 21.9001363636 
58 22 36.6985 63.8612272727 33.5731363636 
59 22 54.7764090909 -10.9085909091 24.3949090909 
60 22 41.0107272727 70.7660909091 17.7773181818 
61 22 11.0885909091 43.8834090909 -12.4192727273 
62 22 5.3175 44.5341818182 -7.1838636364 
63 22 37.7753636364 75.8309545455 30.3786818182 
64 22 64.6698181818 45.0960454545 33.4015909091 
65 22 1.2993181818 66.9785909091 1.3280454545 
66 22 62.2795909091 63.2915909091 19.5530454545 
