# Radial distribution function (200 data points):
# "Pair separation distance" 0-0 0-1 1-1
0.0065 0.0 0.0 0.0 
0.0195 0.0 0.0 0.0 
0.0325 0.0 0.0 0.0 
0.0455 0.0 0.0 0.0 
0.0585 0.0 0.0 0.0 
0.0715 0.0 0.0 0.0 
0.0845 0.0 0.0 0.0 
0.0975 0.0 0.0 0.0 
0.1105 0.0 0.0 0.0 
0.1235 0.0 0.0 0.0 
0.1365 0.0 0.0 0.0 
0.1495 0.0 0.0 0.0 
0.1625 0.0 0.0 0.0 
0.1755 0.0 0.0 0.0 
0.1885 0.0 0.0 0.0 
0.2015 0.0 0.0 0.0 
0.2145 0.0 0.0 0.0 
0.2275 0.0 0.0 0.0 
0.2405 0.0 0.0 0.0 
0.2535 0.0 0.0 0.0 
0.2665 0.0 0.0 0.0 
0.2795 0.0 0.0 0.0 
0.2925 0.0 0.0 0.0 
0.3055 0.0 0.0 0.0 
0.3185 0.0 0.0 0.0 
0.3315 0.0 0.0 0.0 
0.3445 0.0 0.0 0.0 
0.3575 0.0 0.0 0.0 
0.3705 0.0 0.0 0.0 
0.3835 0.0 0.0 0.0 
0.3965 0.0 0.0 0.0 
0.4095 0.0 0.0 0.0 
0.4225 0.0 0.0 0.0 
0.4355 0.0 0.0 0.0 
0.4485 0.0 0.0 0.0 
0.4615 0.0 0.0 0.0 
0.4745 0.0 0.0 0.0 
0.4875 0.0 0.0 0.0 
0.5005 0.0 0.0 0.0 
0.5135 0.0 0.0 0.0 
0.5265 0.0 0.0 0.0 
0.5395 0.0 0.0 0.0 
0.5525 0.0 0.0 0.0 
0.5655 0.0 0.0 0.0 
0.5785 0.0 0.0 0.0 
0.5915 0.0 0.0 0.0 
0.6045 0.0 0.0 0.0 
0.6175 0.0 0.0 0.0 
0.6305 0.0 0.0 0.0 
0.6435 0.0 0.0 0.0 
0.6565 0.0 0.0 0.0 
0.6695 0.0 0.0 0.0 
0.6825 0.0 0.0 0.0 
0.6955 0.0 0.0 0.0 
0.7085 0.0 0.0 0.0 
0.7215 0.0 0.0 0.0 
0.7345 0.0 0.0 0.0 
0.7475 0.0 0.0 0.0 
0.7605 0.0 0.0 0.0 
0.7735 0.0 0.0 0.0 
0.7865 0.0 0.0 0.0 
0.7995 0.0 0.0 0.0 
0.8125 0.0 0.0 0.0 
0.8255 0.0 0.0 0.0 
0.8385 0.0 0.0 0.0 
0.8515 0.0 0.0 0.0 
0.8645 0.0 0.0 0.0 
0.8775 0.0 0.0 0.0 
0.8905 0.0 0.0 0.0 
0.9035 0.4208657717 0.0 0.0 
0.9165 0.8180223858 0.0 0.0 
0.9295 2.9823788375 0.0 0.0 
0.9425 7.5417550257 0.0 0.0 
0.9555 13.170655051 0.0 0.0 
0.9685 22.1593499969 0.0 0.0 
0.9815 37.0897405613 0.0 0.0 
0.9945 51.7580519864 0.0 0.0 
1.0075 68.2003068063 0.6769261221 0.0 
1.0205 86.1025531045 0.3298948395 0.0 
1.0335 104.5355686241 0.9649437104 0.0 
1.0465 103.0525485995 1.8822383306 0.0 
1.0595 107.7314997698 2.4484431766 0.0 
1.0725 120.3684145494 4.7788948704 0.0 
1.0855 132.810052412 6.4145360111 2.3325585495 
1.0985 121.0016108692 7.1177418158 2.2776773811 
1.1115 122.080991701 8.8988422197 2.2247105549 
1.1245 113.4331876063 16.8451679799 0.0 
1.1375 111.6518376895 13.0105589698 4.248345786 
1.1505 106.2878084444 15.3137501788 8.3057628088 
1.1635 97.0736946355 16.7499708391 40.6059899129 
1.1765 91.2171448995 21.8424727922 49.6419836187 
1.1895 86.5632855218 21.6104695973 50.5053671488 
1.2025 78.6431692729 19.9577831387 79.831132555 
1.2155 73.3656400143 20.2307787044 94.8753759932 
1.2285 68.9756286416 16.3902483901 91.0569355005 
1.2415 67.6501388796 11.8136980581 103.4255829988 
1.2545 60.3611257706 16.1545146728 103.0396071021 
1.2675 52.8207572733 13.472500843 92.3828629234 
1.2805 52.3822954743 12.9908092776 115.6601084072 
1.2935 49.1786280747 17.6591315842 100.2053048036 
1.3065 48.7080078938 11.8750928336 88.5600143524 
1.3195 46.4703584579 12.4315608613 69.4588797332 
1.3325 42.1818891986 11.4161993703 97.5214319087 
1.3455 37.6701319554 10.6273420126 68.3186272239 
1.3585 38.6280615283 10.052603964 65.5280850985 
1.3715 35.1595470416 12.0547018428 58.4470392379 
1.3845 36.0258602108 9.8578224457 61.6561985698 
1.3975 34.9189486472 8.6197908499 43.6266965466 
1.4105 34.7099681568 9.4977524807 38.6817555578 
1.4235 31.1118273662 8.3077904138 37.9784704633 
1.4365 30.5512692033 7.6586287921 30.6345151685 
1.4495 28.8610928736 6.7042765315 24.8548788486 
1.4625 28.5912278372 9.7981174049 24.4149810745 
1.4755 26.9849915509 8.6793832474 15.1494689409 
1.4885 29.3843568069 6.8227530317 13.6455060634 
1.5015 24.9156249029 7.3146788706 23.1631497568 
1.5145 27.7100889318 7.1896446958 8.3879188118 
1.5275 28.5656482318 6.0370699871 4.7118595021 
1.5405 25.986385895 5.7908380824 8.1071733154 
1.5535 24.34324522 8.1144150733 15.9441138283 
1.5665 24.5709101033 7.9802955891 14.5605393204 
1.5795 25.9583483116 7.0232136015 9.9151250845 
1.5925 27.5005992401 9.0765524585 6.5026047464 
1.6055 23.8581877232 7.7305859662 8.5303017558 
1.6185 27.0176076833 6.5576717678 7.3445923799 
1.6315 25.3625848946 7.0989423369 7.2280140158 
1.6445 25.3442997177 9.273854032 7.1141893944 
1.6575 26.7615883463 6.3777617087 10.0043320921 
1.6705 25.9157845937 8.7411910031 2.9547687898 
1.6835 25.7595307828 8.8491564572 1.9395411413 
1.6965 26.0824871034 6.9234977208 9.5496520287 
1.7095 27.8622032443 7.6415325353 4.7024815602 
1.7225 28.5432758118 9.3793320112 6.4844764522 
1.7355 26.6914399538 8.3268167377 7.3002228934 
1.7485 26.6331469423 8.0910826154 2.6970275385 
1.7615 27.7916203458 8.8578869628 7.9720982665 
1.7745 28.9134115039 8.4012554181 6.9828616462 
1.7875 28.7094358967 7.8493963313 0.8602078171 
1.8005 27.8724421957 8.0543939425 2.5434928239 
1.8135 32.3318895749 6.894684045 9.1929120601 
1.8265 30.4830162553 9.6804173243 4.9431918252 
1.8395 32.1858722677 7.9195521668 4.0613088035 
1.8525 32.2362911241 9.8110451247 4.805409857 
1.8655 31.5911275587 10.168394183 10.2671164566 
1.8785 33.1512873053 9.4439790561 7.7888487061 
1.8915 30.2964941609 7.1059922913 5.3775076799 
1.9045 31.1156692705 8.1459590784 8.3353999872 
1.9175 34.4328124105 7.8489993012 6.7277136867 
1.9305 32.4956539574 9.4029977409 5.8999201511 
1.9435 34.6091844117 8.0042266182 10.9148544794 
1.9565 35.2726964682 10.5907841813 3.5900963326 
1.9695 35.4728748267 10.0971478907 8.5028613817 
1.9825 35.8833206856 9.6155061521 9.0910239983 
1.9955 34.3388293066 9.6631881466 3.4511386238 
2.0085 35.897136275 10.6456513271 4.0879301096 
2.0215 34.0497124175 8.4073363994 8.7436298554 
2.0345 37.9735889884 10.2092927772 5.3121523394 
2.0475 38.1895068225 8.6868835262 7.2117523613 
2.0605 33.2180317767 9.4677459632 10.3578759255 
2.0735 38.4763797597 11.3471358793 5.7534773472 
2.0865 35.0784984851 9.7067611106 8.8386767837 
2.0995 37.0616532807 11.0678333667 11.8472582517 
2.1125 37.0303386396 10.3931303874 5.5430028733 
2.1255 38.0997009195 10.1903391681 10.9508122403 
2.1385 38.0135197168 11.7195831538 6.010042643 
2.1515 35.5144696054 12.2463688294 8.3126867206 
2.1645 34.539165026 11.5130550087 5.8665248452 
2.1775 35.35978517 10.8687864252 3.4780116561 
2.1905 34.2969212921 11.0981686853 8.0193218887 
2.2035 32.3013613045 11.3213971714 8.4910478785 
2.2165 35.4201296519 11.258915842 8.9511877501 
2.2295 33.2457630777 12.2338878685 3.3176645067 
2.2425 31.5292034378 11.8875003211 3.2793104334 
2.2555 32.9564458787 11.2105942948 6.4832352548 
2.2685 29.7758053035 12.7515220022 5.3409516239 
2.2815 31.021525436 13.2006491217 13.2006491217 
2.2945 29.7900278438 11.4853119398 6.7867752371 
2.3075 28.003516748 13.1629433562 6.7105201424 
2.3205 29.1900090818 11.1017739458 7.1459694364 
2.3335 27.6984329667 12.6819704472 6.5618155548 
2.3465 27.7979579432 13.0410173067 7.4876654393 
2.3595 28.5724408363 11.3549224922 5.9243073872 
2.3725 25.9102485361 10.8646036265 5.3712647142 
2.3855 26.9568386829 11.3502478665 6.7618497928 
2.3985 26.4265323453 10.0331241447 6.2109816134 
2.4115 25.6106694361 11.5794491568 9.9252421344 
2.4245 26.2719126656 11.0464771831 7.9487878143 
2.4375 25.4430874939 11.7385153665 7.8642270436 
2.4505 25.6315573803 10.6416733767 8.2387148723 
2.4635 24.6824213207 10.1333793954 8.1519923628 
2.4765 24.1438776333 9.9712534077 7.6184857497 
2.4895 24.474446165 10.0336914063 5.7652149517 
2.5025 24.0562463101 8.33876725 5.705472329 
2.5155 25.0298777564 9.7730542216 7.8184433773 
2.5285 23.3759784071 9.8877701768 7.3083518698 
2.5415 23.9884827427 10.3187708472 9.7868754427 
2.5545 22.5340073044 10.1613631069 5.0543567786 
2.5675 23.1402768651 11.1531965071 10.006606212 
2.5805 23.7848103644 11.6602324129 7.0167770272 
2.5935 23.1894181578 10.4709927805 9.3983544957 
