# Radial distribution function (400 data points):
# "Pair separation distance" 0-0 0-1 1-1
0.00375 0.0 0.0 0.0 
0.01125 0.0 0.0 0.0 
0.01875 0.0 0.0 0.0 
0.02625 0.0 0.0 0.0 
0.03375 0.0 0.0 0.0 
0.04125 0.0 0.0 0.0 
0.04875 0.0 0.0 0.0 
0.05625 0.0 0.0 0.0 
0.06375 0.0 0.0 0.0 
0.07125 0.0 0.0 0.0 
0.07875 0.0 0.0 0.0 
0.08625 0.0 0.0 0.0 
0.09375 0.0 0.0 0.0 
0.10125 0.0 0.0 0.0 
0.10875 0.0 0.0 0.0 
0.11625 0.0 0.0 0.0 
0.12375 0.0 0.0 0.0 
0.13125 0.0 0.0 0.0 
0.13875 0.0 0.0 0.0 
0.14625 0.0 0.0 0.0 
0.15375 0.0 0.0 0.0 
0.16125 0.0 0.0 0.0 
0.16875 0.0 0.0 0.0 
0.17625 0.0 0.0 0.0 
0.18375 0.0 0.0 0.0 
0.19125 0.0 0.0 0.0 
0.19875 0.0 0.0 0.0 
0.20625 0.0 0.0 0.0 
0.21375 0.0 0.0 0.0 
0.22125 0.0 0.0 0.0 
0.22875 0.0 0.0 0.0 
0.23625 0.0 0.0 0.0 
0.24375 0.0 0.0 0.0 
0.25125 0.0 0.0 0.0 
0.25875 0.0 0.0 0.0 
0.26625 0.0 0.0 0.0 
0.27375 0.0 0.0 0.0 
0.28125 0.0 0.0 0.0 
0.28875 0.0 0.0 0.0 
0.29625 0.0 0.0 0.0 
0.30375 0.0 0.0 0.0 
0.31125 0.0 0.0 0.0 
0.31875 0.0 0.0 0.0 
0.32625 0.0 0.0 0.0 
0.33375 0.0 0.0 0.0 
0.34125 0.0 0.0 0.0 
0.34875 0.0 0.0 0.0 
0.35625 0.0 0.0 0.0 
0.36375 0.0 0.0 0.0 
0.37125 0.0 0.0 0.0 
0.37875 0.0 0.0 0.0 
0.38625 0.0 0.0 0.0 
0.39375 0.0 0.0 0.0 
0.40125 0.0 0.0 0.0 
0.40875 0.0 0.0 0.0 
0.41625 0.0 0.0 0.0 
0.42375 0.0 0.0 0.0 
0.43125 0.0 0.0 0.0 
0.43875 0.0 0.0 0.0 
0.44625 0.0 0.0 0.0 
0.45375 0.0 0.0 0.0 
0.46125 0.0 0.0 0.0 
0.46875 0.0 0.0 0.0 
0.47625 0.0 0.0 0.0 
0.48375 0.0 0.0 0.0 
0.49125 0.0 0.0 0.0 
0.49875 0.0 0.0 0.0 
0.50625 0.0 0.0 0.0 
0.51375 0.0 0.0 0.0 
0.52125 0.0 0.0 0.0 
0.52875 0.0 0.0 0.0 
0.53625 0.0 0.0 0.0 
0.54375 0.0 0.0 0.0 
0.55125 0.0 0.0 0.0 
0.55875 0.0 0.0 0.0 
0.56625 0.0 0.0 0.0 
0.57375 0.0 0.0 0.0 
0.58125 0.0 0.0 0.0 
0.58875 0.0 0.0 0.0 
0.59625 0.0 0.0 0.0 
0.60375 0.0 0.0 0.0 
0.61125 0.0 0.0 0.0 
0.61875 0.0 0.0 0.0 
0.62625 0.0 0.0 0.0 
0.63375 0.0 0.0 0.0 
0.64125 0.0 0.0 0.0 
0.64875 0.0 0.0 0.0 
0.65625 0.0 0.0 0.0 
0.66375 0.0 0.0 0.0 
0.67125 0.0 0.0 0.0 
0.67875 0.0 0.0 0.0 
0.68625 0.0 0.0 0.0 
0.69375 0.0 0.0 0.0 
0.70125 0.0 0.0 0.0 
0.70875 0.0 0.0 0.0 
0.71625 0.0 0.0 0.0 
0.72375 0.0 0.0 0.0 
0.73125 0.0 0.0 0.0 
0.73875 0.0 0.0 0.0 
0.74625 0.0 0.0 0.0 
0.75375 0.0 0.0 0.0 
0.76125 0.0 0.0 0.0 
0.76875 0.0 0.0 0.0 
0.77625 0.0 0.0 0.0 
0.78375 0.0 0.0 0.0 
0.79125 0.0 0.0 0.0 
0.79875 0.0 0.0 0.0 
0.80625 0.0 0.0 0.0 
0.81375 0.37997512 0.0 0.0 
0.82125 0.6217777892 0.0 0.0 
0.82875 0.6105748916 0.0 0.0 
0.83625 1.4392129462 0.0 0.0 
0.84375 3.5343520539 0.0 0.0 
0.85125 4.2825618944 0.0 0.0 
0.85875 5.9140646335 0.0 0.0 
0.86625 7.8239815093 0.0 0.0 
0.87375 13.0734105845 0.0 0.0 
0.88125 18.6837567883 0.0 0.0 
0.88875 23.041827055 0.0 0.0 
0.89625 27.3564288427 0.0 0.0 
0.90375 30.6010363355 0.0 0.0 
0.91125 36.6646948075 0.0 0.0 
0.91875 40.7385647434 0.0 0.0 
0.92625 46.5336502629 0.0 0.0 
0.93375 48.9635842139 0.0 0.0 
0.94125 50.7424575427 0.0 0.0 
0.94875 50.4092701108 0.0 0.0 
0.95625 53.9325788401 0.0 0.0 
0.96375 57.340534241 0.0 0.0 
0.97125 57.3474982093 0.0 0.0 
0.97875 59.7114590034 0.0 0.0 
0.98625 54.9265461041 0.0 0.0 
0.99375 55.6293440187 0.0 0.0 
1.00125 55.7193605702 0.0 0.0 
1.00875 53.3278614721 0.0 0.0 
1.01625 56.6854133419 0.0 0.0 
1.02375 52.6568778546 0.0 0.0 
1.03125 48.6602471274 0.0 0.0 
1.03875 54.2563339928 0.0 0.0 
1.04625 50.9527732967 0.0 0.0 
1.05375 48.5683050754 0.0 0.0 
1.06125 48.5544864703 0.0 0.0 
1.06875 44.0571293473 0.0 0.0 
1.07625 45.4002702386 0.0 0.0 
1.08375 39.5611396567 0.0 0.0092547359 
1.09125 43.1042589152 0.0 0.0 
1.09875 38.8357171182 0.0 0.0450188635 
1.10625 36.1863413134 0.0 0.0532926118 
1.11375 34.8892480906 0.0 0.1577318565 
1.12125 35.9584710544 0.0120083948 0.1902129734 
1.12875 33.2439972104 0.0236986911 0.4009818531 
1.13625 31.8321296002 0.0116934354 0.5893491423 
1.14375 30.3901997669 0.0577029109 0.8392311369 
1.15125 28.9830201763 0.0797349463 1.2219950061 
1.15875 28.6715161214 0.1461685136 1.3519463131 
1.16625 27.1323149573 0.1775933343 2.0538669108 
1.17375 28.1260193297 0.2301219763 3.0691696729 
1.18125 26.6279423351 0.3029454388 3.6846820937 
1.18875 24.1563265736 0.2457179165 4.1306250102 
1.19625 23.6785456631 0.2953957182 4.9221366525 
1.20375 22.2267621813 0.5417773282 5.3485924844 
1.21125 21.0948471068 0.4836379581 6.2531300926 
1.21875 21.2312811063 0.5285233807 6.6374405491 
1.22625 20.5261457136 0.6626375301 7.1131126868 
1.23375 19.3406217426 0.5950960536 7.8409856025 
1.24125 19.4886683877 0.7251091143 7.9299500545 
1.24875 19.4704166937 0.6486553186 8.1904835749 
1.25625 19.8763733729 0.7270288442 8.7404172946 
1.26375 17.3829453756 0.6428013637 8.6778184105 
1.27125 17.9569217764 0.7473400971 9.0801821792 
1.27875 17.0801106031 0.8863192529 8.794502787 
1.28625 16.7294212687 0.7847619432 8.4622887861 
1.29375 15.0327452011 0.8117682409 8.6437082286 
1.30125 15.6029547867 0.8648494939 8.1656057782 
1.30875 16.3060450986 0.9342923138 7.7867094497 
1.31625 16.169161801 0.7145414017 7.6292108299 
1.32375 15.8428703924 0.7495448651 7.2824745237 
1.33125 15.1916038103 0.8348283215 7.0411805862 
1.33875 14.4603018747 0.8086537747 6.8048215144 
1.34625 14.2533563849 0.7913389421 6.6392504258 
1.35375 14.7365833613 0.6096002807 6.3108457163 
1.36125 13.6693870996 0.6680799788 6.0948447625 
1.36875 12.8037051868 0.6285455274 5.7555430443 
1.37625 14.3472364242 0.7492445688 5.2510885313 
1.38375 14.4549499563 0.5676853074 5.2737965055 
1.39125 14.8195045068 0.6239791371 4.8295985214 
1.39875 13.7179028317 0.6713198698 4.7334995511 
1.40625 13.4447318687 0.7023493998 4.9689693191 
1.41375 13.9738784938 0.5967223789 4.5737637327 
1.42125 12.7887393742 0.5082278245 4.428757054 
1.42875 13.1067852137 0.5694672196 4.3610835074 
1.43625 12.8482800994 0.6806335724 3.952065904 
1.44375 13.1175162986 0.5721812324 4.2135715667 
1.45125 13.4999838724 0.6092913075 3.7830538877 
1.45875 13.8739125345 0.5179068486 3.7187130652 
1.46625 12.7960471036 0.6039110035 3.7515513318 
